,Gini
0,0.0
1,0.13019999999999998
2,0.21340000000000003
3,0.27180000000000004
4,0.35760000000000003
5,0.40880000000000005
6,0.4224
7,0.4404
8,0.47140000000000004
9,0.4848
10,0.4508
11,0.47040000000000004
12,0.5116
13,0.5002
14,0.5074
15,0.5224
16,0.504
17,0.524
18,0.515
19,0.524
20,0.524
21,0.535
22,0.515
23,0.5262
24,0.524
25,0.5214000000000001
26,0.5184
27,0.5098
28,0.5066
29,0.5056
30,0.5172
31,0.5449999999999999
32,0.521
33,0.5284
34,0.5294
35,0.5278
36,0.5166
37,0.5374
38,0.525
39,0.5182
40,0.5274000000000001
41,0.5469999999999999
42,0.517
43,0.5224
44,0.5224
45,0.5134000000000001
46,0.532
47,0.544
48,0.5172
49,0.5172
50,0.5172
51,0.5242
52,0.531
53,0.5416000000000001
54,0.5366
55,0.5304
56,0.5207999999999999
57,0.5276000000000001
58,0.5356000000000001
59,0.5746
60,0.5840000000000001
61,0.6013999999999999
62,0.5894
63,0.569
64,0.5708
65,0.5842
66,0.5806
67,0.5686
68,0.5284
69,0.5046
70,0.513
71,0.509
72,0.5014
73,0.516
74,0.5304
75,0.522
76,0.522
77,0.5446
78,0.5302
79,0.5574
80,0.5432
81,0.5574
82,0.5234000000000001
83,0.49660000000000004
84,0.5034
85,0.5146
86,0.5394
87,0.5576
88,0.5376000000000001
89,0.522
90,0.516
91,0.527
92,0.5302
93,0.47819999999999996
94,0.4786
95,0.5018
96,0.5236000000000001
97,0.4968
98,0.4636
99,0.4506
